target_class_l3,molregno,molecule_chembl_id,canonical_smiles,max_pchembl_value,mean_pchembl_value,activity_records,unique_targets,target_names,target_chembl_ids,target_organisms,standard_types,unseen_class_id
Aspartic protease,17169,CHEMBL114,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,10.3,10.3,1,1,HIV-1 protease,CHEMBL4296312,Human immunodeficiency virus,IC50,0
Aspartic protease,3003764,CHEMBL5786763,COCCOCCOCCOCCOCCOCCOCCNC(=O)C[C@H](NC(=O)c1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,10.3,10.3,1,1,HIV-1 protease,CHEMBL4296312,Human immunodeficiency virus,IC50,0
Aspartic protease,3107848,CHEMBL5890847,COCCOCCOCCOCCOCCNC(=O)C[C@H](NC(=O)c1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,10.3,10.3,1,1,HIV-1 protease,CHEMBL4296312,Human immunodeficiency virus,IC50,0
Aspartic protease,3025634,CHEMBL5808633,COCCOCCOCCNC(=O)C[C@H](NC(=O)c1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,10.15,10.15,1,1,HIV-1 protease,CHEMBL4296312,Human immunodeficiency virus,IC50,0
Aspartic protease,3203812,CHEMBL5986811,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COCn1cnc2c(N)ncnc21,10.0,10.0,1,1,HIV-1 protease,CHEMBL4296312,Human immunodeficiency virus,EC50,0
Aspartic protease,3014853,CHEMBL5797852,CC[C@@H](C1=C(O)C[C@@](CCCNC(=O)OCCOC)(CCc2ccccc2)OC1=O)c1cccc(NS(=O)(=O)c2ccc(C(F)(F)F)cn2)c1,9.73,9.73,1,1,HIV-1 protease,CHEMBL4296312,Human immunodeficiency virus,IC50,0
Aspartic protease,2076705,CHEMBL3782104,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCONC(=N)N)NC(=O)OCc1ccccc1)C(C)C)[C@@H](O)CC(=O)NCCc1ccccc1,9.7,9.7,2,2,Plasmepsin V,CHEMBL3559638; CHEMBL3559649,Plasmodium falciparum (isolate 3D7); Plasmodium vivax,IC50,0
Aspartic protease,3161368,CHEMBL5944367,COCCOCCOCCOCCOCCOc1ccc(C[C@H](NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)C(O)CN(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cc1,9.68,9.68,1,1,HIV-1 protease,CHEMBL4296312,Human immunodeficiency virus,IC50,0
Aspartic protease,2977405,CHEMBL5760404,CC[C@@H](C1=C(O)C[C@@](CCCNC(=O)OC)(CCc2ccccc2)OC1=O)c1cccc(NS(=O)(=O)c2ccc(C(F)(F)F)cn2)c1,9.54,9.54,1,1,HIV-1 protease,CHEMBL4296312,Human immunodeficiency virus,IC50,0
Aspartic protease,76984,CHEMBL296588,CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,9.52,9.52,1,1,Plasmepsin 4,CHEMBL3988607,Plasmodium falciparum,IC50,0
