,precision,recall,f1-score,support
Bromodomain,0.9869077306733167,0.989375,0.9881398252184769,1600.0
P2X receptor,0.9954721862871928,0.9954721862871928,0.9954721862871928,1546.0
Voltage-gated sodium channel,0.9914953933380581,0.9845179451090781,0.9879943502824858,1421.0
Transient receptor potential channel,0.9723076923076923,0.9851909586905689,0.9787069299264421,1283.0
Protein methyltransferase,0.987146529562982,0.987146529562982,0.987146529562982,389.0
Serine protease,0.9894179894179894,0.9868073878627969,0.988110964332893,379.0
Voltage-gated calcium channel,0.9568106312292359,0.9442622950819672,0.9504950495049505,305.0
Plant homeodomain,0.9666666666666667,0.9570957095709571,0.9618573797678275,303.0
Protein Kinase,0.9787234042553191,0.9704641350210971,0.9745762711864406,237.0
Pore-forming toxins (proteins and peptides),0.9952153110047847,0.9952153110047847,0.9952153110047847,209.0
5HT3 receptor,0.9622641509433962,0.95625,0.9592476489028213,160.0
accuracy,0.9846782431052093,0.9846782431052093,0.9846782431052093,0.9846782431052093
macro avg,0.9802206986987848,0.9774361325628568,0.978814767816118,7832.0
weighted avg,0.9846877507297299,0.9846782431052093,0.9846701627863976,7832.0
