,Bromodomain,P2X receptor,Voltage-gated sodium channel,Transient receptor potential channel,Protein methyltransferase,Serine protease,Voltage-gated calcium channel,Plant homeodomain,Protein Kinase,Pore-forming toxins (proteins and peptides),5HT3 receptor
Bromodomain,0.989375,0.00125,0.00125,0.003125,0.000625,0.0,0.0,0.003125,0.0,0.000625,0.000625
P2X receptor,0.000646830530401035,0.9954721862871928,0.0,0.00258732212160414,0.0,0.0,0.000646830530401035,0.000646830530401035,0.0,0.0,0.0
Voltage-gated sodium channel,0.0014074595355383533,0.0,0.9845179451090781,0.00844475721323012,0.0,0.0007037297677691766,0.0028149190710767065,0.0014074595355383533,0.0,0.0,0.0007037297677691766
Transient receptor potential channel,0.003117692907248636,0.000779423226812159,0.000779423226812159,0.9851909586905689,0.000779423226812159,0.001558846453624318,0.004676539360872954,0.001558846453624318,0.001558846453624318,0.0,0.0
Protein methyltransferase,0.005141388174807198,0.002570694087403599,0.002570694087403599,0.002570694087403599,0.987146529562982,0.0,0.0,0.0,0.0,0.0,0.0
Serine protease,0.002638522427440633,0.0,0.002638522427440633,0.002638522427440633,0.0,0.9868073878627969,0.005277044854881266,0.0,0.0,0.0,0.0
Voltage-gated calcium channel,0.003278688524590164,0.006557377049180328,0.009836065573770493,0.019672131147540985,0.0,0.003278688524590164,0.9442622950819672,0.0,0.003278688524590164,0.0,0.009836065573770493
Plant homeodomain,0.019801980198019802,0.0,0.0033003300330033004,0.009900990099009901,0.0033003300330033004,0.0,0.0,0.9570957095709571,0.0033003300330033004,0.0,0.0033003300330033004
Protein Kinase,0.008438818565400843,0.0,0.0,0.012658227848101266,0.008438818565400843,0.0,0.0,0.0,0.9704641350210971,0.0,0.0
Pore-forming toxins (proteins and peptides),0.0,0.0,0.004784688995215311,0.0,0.0,0.0,0.0,0.0,0.0,0.9952153110047847,0.0
5HT3 receptor,0.0125,0.00625,0.0125,0.00625,0.0,0.0,0.0,0.0,0.00625,0.0,0.95625
