,precision,recall,f1-score,support
Bromodomain,0.9853187919463087,0.989469250210615,0.987389659520807,2374.0
P2X receptor,0.9940878378378378,0.9924114671163575,0.9932489451476794,2372.0
Voltage-gated sodium channel,0.9913957934990439,0.9947242206235012,0.9930572180991142,2085.0
Transient receptor potential channel,0.9767040552200172,0.9822125813449024,0.9794505732208523,2305.0
Protein methyltransferase,1.0,1.0,1.0,623.0
Serine protease,0.9858934169278997,1.0,0.9928966061562746,629.0
Voltage-gated calcium channel,0.9667774086378738,0.9478827361563518,0.9572368421052632,614.0
Plant homeodomain,0.9824253075571178,0.9688041594454073,0.9755671902268761,577.0
Protein Kinase,0.9623655913978495,1.0,0.9808219178082191,179.0
Pore-forming toxins (proteins and peptides),0.9915074309978769,0.9769874476987448,0.9841938883034773,478.0
5HT3 receptor,0.9652509652509652,0.9124087591240876,0.9380863039399625,274.0
accuracy,0.9856115107913669,0.9856115107913669,0.9856115107913669,0.9856115107913669
macro avg,0.9819751453884357,0.9786273292472699,0.9801771949571388,12510.0
weighted avg,0.9855920614010599,0.9856115107913669,0.9855661490699864,12510.0
