,Bromodomain,P2X receptor,Voltage-gated sodium channel,Transient receptor potential channel,Protein methyltransferase,Serine protease,Voltage-gated calcium channel,Plant homeodomain,Protein Kinase,Pore-forming toxins (proteins and peptides),5HT3 receptor
Bromodomain,0.989469250210615,0.0016849199663016006,0.0,0.0012636899747262005,0.0,0.002527379949452401,0.0008424599831508003,0.002527379949452401,0.0016849199663016006,0.0,0.0
P2X receptor,0.0008431703204047217,0.9924114671163575,0.00042158516020236085,0.005902192242833052,0.0,0.0,0.00042158516020236085,0.0,0.0,0.0,0.0
Voltage-gated sodium channel,0.0,0.0,0.9947242206235012,0.0038369304556354917,0.0,0.00047961630695443646,0.00047961630695443646,0.0,0.0,0.00047961630695443646,0.0
Transient receptor potential channel,0.0039045553145336228,0.0026030368763557484,0.0039045553145336228,0.9822125813449024,0.0,0.0004338394793926247,0.003036876355748373,0.0013015184381778742,0.0013015184381778742,0.0004338394793926247,0.0008676789587852494
Protein methyltransferase,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Serine protease,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Voltage-gated calcium channel,0.004885993485342019,0.0016286644951140066,0.011400651465798045,0.019543973941368076,0.0,0.0,0.9478827361563518,0.0,0.0,0.003257328990228013,0.011400651465798045
Plant homeodomain,0.019064124783362217,0.0017331022530329288,0.0,0.008665511265164644,0.0,0.0,0.0017331022530329288,0.9688041594454073,0.0,0.0,0.0
Protein Kinase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Pore-forming toxins (proteins and peptides),0.0041841004184100415,0.0020920502092050207,0.0020920502092050207,0.012552301255230125,0.0,0.0,0.0020920502092050207,0.0,0.0,0.9769874476987448,0.0
5HT3 receptor,0.029197080291970802,0.0036496350364963502,0.0,0.021897810218978103,0.0,0.0036496350364963502,0.025547445255474453,0.0036496350364963502,0.0,0.0,0.9124087591240876
