scaffold,size,majority_label_id,n_classes_in_scaffold,class_0_count,class_1_count,class_2_count,class_3_count,class_4_count,class_5_count,class_6_count,class_7_count,class_8_count,class_9_count,class_10_count,split,assignment_score
O=c1[nH]c(=O)n(Cc2ccccc2)c(=Nc2ccccc2)[nH]1,646,1,1,0,646,0,0,0,0,0,0,0,0,0,validation,1.7817217283769513
O=c1ccn(Cc2ccccc2)c(Nc2ccccc2)n1,426,1,1,0,426,0,0,0,0,0,0,0,0,0,validation,1.6625950120078345
O=C1CCCc2[nH]c(-c3ccncc3)c(Nc3ccccc3)c21,418,8,1,0,0,0,0,0,0,0,0,418,0,0,validation,1.5351085242393503
O=c1[nH]c(=O)n(Cc2ccccc2)c(=Nc2ccc(Oc3ccccn3)cc2)[nH]1,382,1,1,0,382,0,0,0,0,0,0,0,0,0,validation,1.4502656750499918
c1ccc2c(c1)ncc1nncn12,272,0,1,272,0,0,0,0,0,0,0,0,0,0,validation,1.370320385163887
c1ccccc1,265,3,11,15,4,22,185,3,4,7,6,11,3,5,validation,1.2811850685438517
O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2cc[nH]c12,211,0,1,211,0,0,0,0,0,0,0,0,0,0,validation,1.2265005803514821
O=c1ccc2cc(S(=O)(=O)Nc3ccon3)ccc2n1-c1ccc(-c2ccccc2)cc1,195,2,1,0,0,195,0,0,0,0,0,0,0,0,validation,1.1711191430221088
c1ccc(Oc2ccc(-c3ccccc3)cn2)cc1,164,2,1,0,0,164,0,0,0,0,0,0,0,0,validation,1.1281551016095492
O=c1[nH]c(=O)n(Cc2ccccc2)c(=Nc2ccc(Oc3ccncc3)cc2)[nH]1,136,1,1,0,136,0,0,0,0,0,0,0,0,0,validation,1.1067286992953504
O=C(NCc1ccccc1)C1CCCN1C(=O)Nc1c[nH]c2ccccc12,134,5,1,0,0,0,0,0,134,0,0,0,0,0,validation,1.0342074727584445
c1ccc(Oc2ccc(-c3ccccn3)cc2)cc1,133,2,1,0,0,133,0,0,0,0,0,0,0,0,validation,1.0029599548991885
O=C(Nc1ccccc1)c1ccccc1Oc1ccccc1,127,2,1,0,0,127,0,0,0,0,0,0,0,0,validation,0.9751485073425401
