epoch,train_epoch_loss,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_weighted_f1,val_weighted_f1,train_macro_precision,val_macro_precision,train_macro_recall,val_macro_recall,learning_rate,epoch_time_seconds,total_elapsed_minutes,gpu_memory_allocated_mb,gpu_memory_reserved_mb,best_val_macro_f1,best_epoch,epochs_without_improvement
1,0.6494918499859224,0.10174445869545062,0.11765402982645047,0.9710757469954794,0.9752562459961563,0.9758189563500206,0.9800361355010323,0.963967140455906,0.9560340461253464,0.9713065983136329,0.9757170026967278,0.953283328945685,0.9363427693443236,0.9758189563500206,0.9800361355010323,0.001,0.7065169811248779,0.011775283018747966,35.8232421875,68.0,0.9560340461253464,1,0
2,0.12024370418997259,0.02928309543617227,0.07941727815010965,0.9925024807967952,0.981742472773863,0.9937617623545388,0.9833687753205494,0.9902906824712058,0.9712483189415,0.9925184160908435,0.9818876985714288,0.9869169272492706,0.9602526441965246,0.9937617623545388,0.9833687753205494,0.001,0.5372533798217773,0.021147712071736654,35.8232421875,68.0,0.9712483189415,2,0
3,0.05378004045702928,0.011704117403395758,0.08491854661625788,0.9972068065713551,0.982222934016656,0.9977897413070274,0.9782418288068082,0.9967415503037507,0.9771647705270201,0.9972088681078908,0.9823780424543072,0.9957065227354278,0.9763824485375016,0.9977897413070274,0.9782418288068082,0.001,0.5249142646789551,0.03017963171005249,35.8232421875,68.0,0.9771647705270201,3,0
4,0.02868801181898873,0.008016432284926643,0.08998673411237146,0.997500826932265,0.9795803971812941,0.9980804548613907,0.9792008567364084,0.9964384683765115,0.9702977694499038,0.9975042952158827,0.9797286509976246,0.9948232517012946,0.9622161276985381,0.9980804548613907,0.9792008567364084,0.001,0.5548577308654785,0.03967726627985636,35.8232421875,68.0,0.9771647705270201,3,1
5,0.017912999127594004,0.005147387330364728,0.09072327317519639,0.9986401558307912,0.9825432415118514,0.9987286255721849,0.9817964819007042,0.998196601654728,0.9784744580724415,0.9986405027348814,0.9826919683114222,0.9976678552457948,0.9757743299926935,0.9987286255721849,0.9817964819007042,0.001,0.5379598140716553,0.048676598072052005,35.8232421875,68.0,0.9784744580724415,5,0
6,0.0183937007457802,0.0052426898617363065,0.08219115721857716,0.9979051049285163,0.9855861627162076,0.9986411278232677,0.9841017381020116,0.9973536190183719,0.9775372038879531,0.997908044303116,0.9857415066686754,0.9960807444985001,0.972361342915486,0.9986411278232677,0.9841017381020116,0.001,0.5168724060058594,0.05757449070612589,35.8232421875,68.0,0.9784744580724415,5,1
7,0.014152960396173291,0.008291909423692154,0.10358739382768448,0.9971333014811276,0.982222934016656,0.9983770556128264,0.9798933332254027,0.9956188097538984,0.9740119843301728,0.9971557154655768,0.9823469943811911,0.9930140505706265,0.9687912016249864,0.9983770556128264,0.9798933332254027,0.001,0.518179178237915,0.06624413728713989,35.8232421875,68.0,0.9784744580724415,5,2
8,0.013287270048263482,0.004959462667909721,0.09023211942433781,0.9983461354698813,0.9849455477258168,0.9989163182864885,0.9780924429124035,0.997850934349528,0.9759957714415751,0.9983479746058231,0.9850200473783978,0.9967946996120197,0.9743030731422766,0.9989163182864885,0.9780924429124035,0.0005,0.5193185806274414,0.07491611242294312,35.8232421875,68.0,0.9784744580724415,5,3
9,0.010912713035903472,0.0023413729450494167,0.09243596058853763,0.9994854643684075,0.9854260089686099,0.9995304241613714,0.9809635870159448,0.999229260730692,0.9786159732147116,0.9994855697953455,0.985533383432925,0.9989292821010077,0.9766693193862414,0.9995304241613714,0.9809635870159448,0.0005,0.5482578277587891,0.084087073802948,35.8232421875,68.0,0.9786159732147116,9,0
10,0.007811775606252513,0.0017131081299326175,0.08838910533399855,0.9995222169135213,0.9852658552210122,0.999591455834166,0.9802916185309637,0.999225231216207,0.9794213098743313,0.9995223479649296,0.9853303648201929,0.9988601185353783,0.9788485311791579,0.999591455834166,0.9802916185309637,0.0005,0.5213816165924072,0.09306009213129679,35.8232421875,68.0,0.9794213098743313,10,0
