,precision,recall,f1-score,support
Bromodomain,0.8209920920201293,0.6451977401129944,0.7225561531161026,1770.0
P2X receptor,0.7956551255940258,0.8341637010676156,0.8144544822793607,1405.0
Voltage-gated sodium channel,0.8160511363636364,0.8852080123266564,0.8492239467849224,1298.0
Transient receptor potential channel,0.6204896907216495,0.8065326633165829,0.7013838310269482,1194.0
Protein methyltransferase,0.9272727272727272,0.7786259541984732,0.8464730290456431,393.0
Serine protease,0.9209486166007905,0.6196808510638298,0.7408585055643879,376.0
Voltage-gated calcium channel,0.6340508806262231,0.7043478260869566,0.6673532440782698,460.0
Plant homeodomain,0.42142857142857143,0.5691318327974276,0.4842681258549932,311.0
Protein Kinase,0.9194139194139194,0.8900709219858156,0.9045045045045045,282.0
Pore-forming toxins (proteins and peptides),0.9290780141843972,0.6093023255813953,0.7359550561797753,215.0
5HT3 receptor,0.4296875,0.3125,0.3618421052631579,176.0
accuracy,0.7491116751269036,0.7491116751269036,0.7491116751269036,0.7491116751269036
macro avg,0.7486425703841881,0.695887438957977,0.7117157257907332,7880.0
weighted avg,0.7663990572136653,0.7491116751269036,0.7498450903033378,7880.0
