,Bromodomain,P2X receptor,Voltage-gated sodium channel,Transient receptor potential channel,Protein methyltransferase,Serine protease,Voltage-gated calcium channel,Plant homeodomain,Protein Kinase,Pore-forming toxins (proteins and peptides),5HT3 receptor
Bromodomain,1142,128,86,239,19,3,46,83,3,3,18
P2X receptor,22,1172,20,107,0,0,40,32,9,1,2
Voltage-gated sodium channel,24,46,1149,49,0,5,12,9,1,0,3
Transient receptor potential channel,46,58,20,963,0,2,46,33,4,1,21
Protein methyltransferase,17,14,21,11,306,4,2,16,0,0,2
Serine protease,8,11,47,18,0,233,4,44,0,4,7
Voltage-gated calcium channel,7,25,34,49,0,3,324,9,1,1,7
Plant homeodomain,63,10,7,23,0,1,21,177,0,0,9
Protein Kinase,9,3,2,8,0,0,0,6,251,0,3
Pore-forming toxins (proteins and peptides),28,2,2,41,5,0,3,1,1,131,1
5HT3 receptor,25,4,20,44,0,2,13,10,3,0,55
