,Bromodomain,P2X receptor,Voltage-gated sodium channel,Transient receptor potential channel,Protein methyltransferase,Serine protease,Voltage-gated calcium channel,Plant homeodomain,Protein Kinase,Pore-forming toxins (proteins and peptides),5HT3 receptor
Bromodomain,0.6451977401129944,0.07231638418079096,0.04858757062146893,0.13502824858757062,0.010734463276836158,0.001694915254237288,0.02598870056497175,0.04689265536723164,0.001694915254237288,0.001694915254237288,0.010169491525423728
P2X receptor,0.015658362989323844,0.8341637010676156,0.014234875444839857,0.07615658362989323,0.0,0.0,0.028469750889679714,0.022775800711743774,0.006405693950177936,0.0007117437722419929,0.0014234875444839859
Voltage-gated sodium channel,0.01848998459167951,0.03543913713405239,0.8852080123266564,0.03775038520801233,0.0,0.003852080123266564,0.009244992295839754,0.006933744221879815,0.0007704160246533128,0.0,0.0023112480739599386
Transient receptor potential channel,0.038525963149078725,0.048576214405360134,0.01675041876046901,0.8065326633165829,0.0,0.0016750418760469012,0.038525963149078725,0.02763819095477387,0.0033500837520938024,0.0008375209380234506,0.017587939698492462
Protein methyltransferase,0.043256997455470736,0.035623409669211195,0.05343511450381679,0.027989821882951654,0.7786259541984732,0.010178117048346057,0.005089058524173028,0.04071246819338423,0.0,0.0,0.005089058524173028
Serine protease,0.02127659574468085,0.02925531914893617,0.125,0.047872340425531915,0.0,0.6196808510638298,0.010638297872340425,0.11702127659574468,0.0,0.010638297872340425,0.018617021276595744
Voltage-gated calcium channel,0.015217391304347827,0.05434782608695652,0.07391304347826087,0.10652173913043478,0.0,0.006521739130434782,0.7043478260869566,0.01956521739130435,0.002173913043478261,0.002173913043478261,0.015217391304347827
Plant homeodomain,0.20257234726688103,0.03215434083601286,0.022508038585209004,0.07395498392282958,0.0,0.003215434083601286,0.06752411575562701,0.5691318327974276,0.0,0.0,0.028938906752411574
Protein Kinase,0.031914893617021274,0.010638297872340425,0.0070921985815602835,0.028368794326241134,0.0,0.0,0.0,0.02127659574468085,0.8900709219858156,0.0,0.010638297872340425
Pore-forming toxins (proteins and peptides),0.13023255813953488,0.009302325581395349,0.009302325581395349,0.19069767441860466,0.023255813953488372,0.0,0.013953488372093023,0.004651162790697674,0.004651162790697674,0.6093023255813953,0.004651162790697674
5HT3 receptor,0.14204545454545456,0.022727272727272728,0.11363636363636363,0.25,0.0,0.011363636363636364,0.07386363636363637,0.056818181818181816,0.017045454545454544,0.0,0.3125
