split,true_label_id,true_target_class_l3,samples,nearest_train_similarity_mean,nearest_train_similarity_median,nearest_train_similarity_q25,nearest_train_similarity_q75,nearest_same_class_similarity_mean,nearest_different_class_similarity_mean,similarity_margin_mean,nearest_train_same_class_fraction,model_accuracy
test,0,Bromodomain,1770,0.4419976983366713,0.38823530077934265,0.3291139304637909,0.5215860307216644,0.432670450092709,0.2983993396415549,0.13427111004705483,0.7655367231638418,0.6451977401129944
test,1,P2X receptor,1405,0.5951958491921001,0.649350643157959,0.4285714328289032,0.746666669845581,0.5884466555831271,0.31785146188905655,0.27059519381073444,0.8590747330960854,0.8341637010676156
test,2,Voltage-gated sodium channel,1298,0.5764605221675798,0.5931540727615356,0.5232558250427246,0.6571428775787354,0.5703111217057301,0.3198611831008378,0.2504499386048923,0.8813559322033898,0.8852080123266564
test,3,Transient receptor potential channel,1194,0.5026617669149409,0.5,0.33859192579984665,0.6712328791618347,0.49387955728924554,0.3057679043087478,0.18811165280577724,0.7931323283082077,0.8065326633165829
test,4,Protein methyltransferase,393,0.5869702204455249,0.6279069781303406,0.4955752193927765,0.6979166865348816,0.5715260191538558,0.2967951070830112,0.27473091260167476,0.811704834605598,0.7786259541984732
test,5,Serine protease,376,0.3690280409410913,0.3496987968683243,0.3176828399300575,0.39519739896059036,0.3540219067734607,0.30523754339268866,0.048784363460033495,0.6968085106382979,0.6196808510638298
test,6,Voltage-gated calcium channel,460,0.5151928368146005,0.5629401504993439,0.3827160596847534,0.6329113841056824,0.49371755579891413,0.3297440685979698,0.16397348716855048,0.7521739130434782,0.7043478260869566
test,7,Plant homeodomain,311,0.40294951138197416,0.375,0.32049381732940674,0.4553429037332535,0.3739520897340161,0.32894093133628943,0.045011158493554096,0.4887459807073955,0.5691318327974276
test,8,Protein Kinase,282,0.6050239172070584,0.6285714507102966,0.5582150667905807,0.6932382136583328,0.5953858737298783,0.3041806149672955,0.2912052587625828,0.8936170212765957,0.8900709219858156
test,9,Pore-forming toxins (proteins and peptides),215,0.390439041825228,0.39449542760849,0.28939205408096313,0.46315789222717285,0.358658832380938,0.2836327775966289,0.07502605450707812,0.7069767441860465,0.6093023255813953
test,10,5HT3 receptor,176,0.36525506212968717,0.3174603283405304,0.28787878155708313,0.4146341383457184,0.3076589757745916,0.3137360652062026,-0.006077089346945286,0.2897727272727273,0.3125
validation,0,Bromodomain,1547,0.5409883907824543,0.5194805264472961,0.40761516988277435,0.6756756901741028,0.5375028232181157,0.31973014979995906,0.21777267335073056,0.9159663865546218,
validation,1,P2X receptor,1507,0.6686286946935375,0.6842105388641357,0.5694444179534912,0.7967425882816315,0.6656441335537296,0.32488374457544417,0.34076038878052617,0.9542136695421367,
validation,2,Voltage-gated sodium channel,1401,0.5611297738479768,0.5762711763381958,0.46341463923454285,0.6666666865348816,0.5546061673562583,0.31860041001453987,0.23600575711836055,0.8765167737330478,
validation,3,Transient receptor potential channel,1277,0.5271682559557043,0.5185185074806213,0.40229883790016174,0.6666666865348816,0.5200981626939102,0.3218653729140245,0.19823278977988565,0.855912294440094,
validation,4,Protein methyltransferase,433,0.7063216632425647,0.7384615540504456,0.6486486196517944,0.8260869383811951,0.6990161205342956,0.3175780511962349,0.3814380688906817,0.9191685912240185,
validation,5,Serine protease,379,0.6616355799983863,0.6849315166473389,0.6326908767223358,0.7428571581840515,0.6572344773756168,0.3021118384945676,0.3551226384092447,0.9050131926121372,
validation,6,Voltage-gated calcium channel,372,0.4443914653152548,0.38235294818878174,0.32307693362236023,0.5535714030265808,0.41968097481676325,0.3239188549178903,0.09576211969858857,0.5591397849462365,
validation,7,Plant homeodomain,314,0.558234114081237,0.5763403177261353,0.4638975188136101,0.6521739363670349,0.5519087929634532,0.3103928247075172,0.24151596820848004,0.9267515923566879,
validation,8,Protein Kinase,223,0.5929427548507938,0.604938268661499,0.5692307949066162,0.6571428775787354,0.5840460465627936,0.3170243821069264,0.2670216643890458,0.8923766816143498,
validation,9,Pore-forming toxins (proteins and peptides),220,0.3907011536711996,0.34228551387786865,0.2876284271478653,0.4526774659752846,0.33981463753364305,0.2959886824542826,0.04382595514709299,0.4636363636363636,
validation,10,5HT3 receptor,171,0.36992786824703217,0.35593220591545105,0.30517394840717316,0.40862172842025757,0.31443058712440625,0.3377090261170739,-0.023278438992667617,0.2631578947368421,
