epoch,train_epoch_loss,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_weighted_f1,val_weighted_f1,train_macro_precision,val_macro_precision,train_macro_recall,val_macro_recall,learning_rate,epoch_time_seconds,total_elapsed_minutes,gpu_memory_allocated_mb,gpu_memory_reserved_mb,best_val_macro_f1,best_epoch,epochs_without_improvement
1,0.3537857228308492,0.033387636731885995,0.7479260199262073,0.9939149740975248,0.8099184089750128,0.993554138849591,0.7470148806590179,0.9913539210685479,0.7286421908715045,0.9939320416195357,0.8108040712634305,0.9892148759234278,0.7477637651564556,0.993554138849591,0.7470148806590179,0.001,1.2312853336334229,0.020521422227223713,35.8232421875,68.0,0.7286421908715045,1,0
2,0.03634173271903053,0.012589744443042061,0.7174233603787508,0.9978346078995697,0.8337582865884753,0.9969068209511698,0.7704954777428821,0.995616374561272,0.7725056922250626,0.9978372983854246,0.8328781226684767,0.9943810161728899,0.790336703794603,0.9969068209511698,0.7704954777428821,0.001,0.9791393280029297,0.037432344754536946,35.8232421875,68.0,0.7725056922250626,2,0
3,0.02094472591567565,0.020250728352556088,0.7736650314571479,0.9975605076336924,0.8319734829168791,0.9954244763006834,0.7559386275998878,0.9944717177296187,0.7697470853005742,0.9975651174920926,0.8298631007517118,0.9935494035445849,0.8033343669300169,0.9954244763006834,0.7559386275998878,0.001,1.032480239868164,0.054998501141866045,35.8232421875,68.0,0.7725056922250626,2,1
4,0.015591854241988602,0.0032222208816393622,0.7432358035998687,0.9991502891757805,0.8447220805711372,0.9989602685981126,0.77390898698714,0.9983279033720063,0.7888003115623831,0.9991508341613011,0.8415768781981556,0.9977033739503759,0.8205122045231767,0.9989602685981126,0.77390898698714,0.001,0.9774975776672363,0.07132347027460734,35.8232421875,68.0,0.7888003115623831,4,0
5,0.00820921797154886,0.0022610085377529343,0.7730715008716591,0.9994243894416578,0.8456144824069353,0.999089808469175,0.779724249242621,0.9986000880232027,0.7887990064241972,0.999424738620477,0.8443940463601183,0.9981161324073411,0.8153579763591347,0.999089808469175,0.779724249242621,0.001,1.0090558528900146,0.08851763804753622,35.8232421875,68.0,0.7888003115623831,4,1
6,0.006351294061342999,0.0029901121588198644,0.7442106976133924,0.999095469122605,0.8457419683834778,0.9991578172472408,0.7858986481806208,0.9986189777388847,0.7898437862925962,0.9990959449925623,0.8454670056112604,0.9980832830943254,0.8001898794837321,0.9991578172472408,0.7858986481806208,0.001,1.2227845191955566,0.10892358620961508,35.8232421875,68.0,0.7898437862925962,6,0
7,0.009257323928074225,0.0028795452821121946,0.7640226464063188,0.9991776992023682,0.8426823049464559,0.9991423731023363,0.7830956473919439,0.998289403190319,0.7825145533093452,0.9991785811128411,0.8436462641079616,0.9974417075482059,0.7986805782473517,0.9991423731023363,0.7830956473919439,0.001,1.171565294265747,0.12898964484532674,35.8232421875,68.0,0.7898437862925962,6,1
8,0.00822963719101908,0.006745712941767895,0.8472062765037919,0.9990132390428419,0.84535951045385,0.9973621684885875,0.7702738497557783,0.9977039931650032,0.7817291873995308,0.9990124908119874,0.8429056771693189,0.9980708075983887,0.8236907536729992,0.9973621684885875,0.7702738497557783,0.0005,1.1062061786651611,0.14745210806528727,35.8232421875,68.0,0.7898437862925962,6,2
9,0.006517997472136384,0.0011191485000501273,0.827793399488467,0.9997258997341227,0.8479092299847016,0.9995559088503612,0.7768009089132843,0.999296992095169,0.7894090315423569,0.9997259777764969,0.8454778387887695,0.9990404677579755,0.8278319484132693,0.9995559088503612,0.7768009089132843,0.0005,1.0863525867462158,0.16558351914087932,35.8232421875,68.0,0.7898437862925962,6,3
10,0.00338891639358312,0.0009060101774993049,0.8125897958385058,0.9997807197872982,0.850841407445181,0.9996463693525709,0.7780142867816653,0.9994166985769816,0.7926826323165117,0.9997807819826424,0.8480760608905473,0.9991888314388381,0.8265644939711199,0.9996463693525709,0.7780142867816653,0.0005,1.1431400775909424,0.1846855839093526,35.8232421875,68.0,0.7926826323165117,10,0
