,precision,recall,f1-score,support
Bromodomain,0.81427304964539,0.7464445347419748,0.7788848844604621,2461.0
P2X receptor,0.5818610129564193,0.6151930261519303,0.5980629539951574,803.0
Voltage-gated sodium channel,0.667302192564347,0.6750241080038573,0.6711409395973155,1037.0
Transient receptor potential channel,0.5803571428571429,0.7801642451042324,0.6655887900835354,1583.0
Protein methyltransferase,0.788135593220339,0.4793814432989691,0.5961538461538461,194.0
Serine protease,0.9172932330827067,0.5583524027459954,0.6941678520625889,437.0
Voltage-gated calcium channel,0.4816053511705686,0.5245901639344263,0.5021795989537925,549.0
Plant homeodomain,0.4901185770750988,0.6138613861386139,0.545054945054945,404.0
Protein Kinase,0.6797385620915033,0.697986577181208,0.6887417218543046,149.0
Pore-forming toxins (proteins and peptides),0.9359605911330049,0.48717948717948717,0.6408094435075885,390.0
5HT3 receptor,0.5786802030456852,0.36075949367088606,0.4444444444444444,316.0
accuracy,0.6664664183587649,0.6664664183587649,0.6664664183587649,0.6664664183587649
macro avg,0.683211409894746,0.5944488061955983,0.6204754018334527,8323.0
weighted avg,0.6905192131133255,0.6664664183587649,0.6673755978471325,8323.0
