,Bromodomain,P2X receptor,Voltage-gated sodium channel,Transient receptor potential channel,Protein methyltransferase,Serine protease,Voltage-gated calcium channel,Plant homeodomain,Protein Kinase,Pore-forming toxins (proteins and peptides),5HT3 receptor
Bromodomain,1837,127,58,264,11,5,58,79,5,2,15
P2X receptor,41,494,35,131,0,0,56,31,9,1,5
Voltage-gated sodium channel,51,57,700,142,1,4,60,14,2,2,4
Transient receptor potential channel,84,69,31,1235,4,2,67,43,16,1,31
Protein methyltransferase,23,15,23,17,93,4,3,14,1,0,1
Serine protease,27,14,60,28,0,244,15,38,0,5,6
Voltage-gated calcium channel,18,35,50,120,0,4,288,13,9,2,10
Plant homeodomain,75,16,9,24,0,1,23,248,0,0,8
Protein Kinase,15,4,2,9,1,0,1,11,104,0,2
Pore-forming toxins (proteins and peptides),56,13,54,60,3,0,8,4,1,190,1
5HT3 receptor,29,5,27,98,5,2,19,11,6,0,114
