,Bromodomain,P2X receptor,Voltage-gated sodium channel,Transient receptor potential channel,Protein methyltransferase,Serine protease,Voltage-gated calcium channel,Plant homeodomain,Protein Kinase,Pore-forming toxins (proteins and peptides),5HT3 receptor
Bromodomain,0.7464445347419748,0.05160503860219423,0.023567655424624138,0.10727346607070297,0.004469727752945957,0.0020316944331572532,0.023567655424624138,0.0321007720438846,0.0020316944331572532,0.0008126777732629012,0.006095083299471759
P2X receptor,0.05105853051058531,0.6151930261519303,0.043586550435865505,0.16313823163138233,0.0,0.0,0.06973848069738481,0.038605230386052306,0.0112079701120797,0.0012453300124533001,0.0062266500622665
Voltage-gated sodium channel,0.04918032786885246,0.054966248794599805,0.6750241080038573,0.1369334619093539,0.0009643201542912247,0.003857280617164899,0.05785920925747348,0.013500482160077145,0.0019286403085824494,0.0019286403085824494,0.003857280617164899
Transient receptor potential channel,0.053063802905874924,0.043588123815540114,0.01958307012002527,0.7801642451042324,0.002526847757422615,0.0012634238787113076,0.04232469993682881,0.027163613392293114,0.01010739102969046,0.0006317119393556538,0.01958307012002527
Protein methyltransferase,0.11855670103092783,0.07731958762886598,0.11855670103092783,0.08762886597938144,0.4793814432989691,0.020618556701030927,0.015463917525773196,0.07216494845360824,0.005154639175257732,0.0,0.005154639175257732
Serine protease,0.06178489702517163,0.032036613272311214,0.13729977116704806,0.06407322654462243,0.0,0.5583524027459954,0.034324942791762014,0.08695652173913043,0.0,0.011441647597254004,0.013729977116704805
Voltage-gated calcium channel,0.03278688524590164,0.06375227686703097,0.09107468123861566,0.2185792349726776,0.0,0.007285974499089253,0.5245901639344263,0.023679417122040074,0.01639344262295082,0.0036429872495446266,0.018214936247723135
Plant homeodomain,0.18564356435643564,0.039603960396039604,0.022277227722772276,0.0594059405940594,0.0,0.0024752475247524753,0.05693069306930693,0.6138613861386139,0.0,0.0,0.019801980198019802
Protein Kinase,0.10067114093959731,0.026845637583892617,0.013422818791946308,0.06040268456375839,0.006711409395973154,0.0,0.006711409395973154,0.0738255033557047,0.697986577181208,0.0,0.013422818791946308
Pore-forming toxins (proteins and peptides),0.14358974358974358,0.03333333333333333,0.13846153846153847,0.15384615384615385,0.007692307692307693,0.0,0.020512820512820513,0.010256410256410256,0.002564102564102564,0.48717948717948717,0.002564102564102564
5HT3 receptor,0.09177215189873418,0.015822784810126583,0.08544303797468354,0.310126582278481,0.015822784810126583,0.006329113924050633,0.060126582278481014,0.03481012658227848,0.0189873417721519,0.0,0.36075949367088606
