split,samples,fraction,unique_classes,class_id,class_name,fraction_within_split
train,36483,0.6988143352424004,11.0,,,
train,7346,,,0.0,Bromodomain,0.20135405531343364
train,7395,,,1.0,P2X receptor,0.20269714661623223
train,6770,,,2.0,Voltage-gated sodium channel,0.1855658799989036
train,6079,,,3.0,Transient receptor potential channel,0.16662555162678508
train,1765,,,4.0,Protein methyltransferase,0.04837869692733602
train,1774,,,5.0,Serine protease,0.04862538716662555
train,1204,,,6.0,Voltage-gated calcium channel,0.03300167201162185
train,1396,,,7.0,Plant homeodomain,0.038264397116465204
train,1077,,,8.0,Protein Kinase,0.029520598634980674
train,959,,,9.0,Pore-forming toxins (proteins and peptides),0.026286215497629033
train,718,,,10.0,5HT3 receptor,0.019680399089987116
validation,7401,0.14176259888520695,11.0,,,
validation,856,,,0.0,Bromodomain,0.11566004593973787
validation,2109,,,1.0,P2X receptor,0.2849614916903121
validation,1662,,,2.0,Voltage-gated sodium channel,0.22456424807458453
validation,888,,,3.0,Transient receptor potential channel,0.11998378597486827
validation,632,,,4.0,Protein methyltransferase,0.08539386569382516
validation,318,,,5.0,Serine protease,0.04296716659910823
validation,283,,,6.0,Voltage-gated calcium channel,0.03823807593568437
validation,221,,,7.0,Plant homeodomain,0.02986082961761924
validation,356,,,8.0,Protein Kinase,0.048101607890825564
validation,45,,,9.0,Pore-forming toxins (proteins and peptides),0.006080259424402107
validation,31,,,10.0,5HT3 receptor,0.004188623159032563
test,8323,0.15942306587239258,11.0,,,
test,2461,,,0.0,Bromodomain,0.29568665144779527
test,803,,,1.0,P2X receptor,0.09647963474708639
test,1037,,,2.0,Voltage-gated sodium channel,0.12459449717649886
test,1583,,,3.0,Transient receptor potential channel,0.19019584284512797
test,194,,,4.0,Protein methyltransferase,0.023308903039769315
test,437,,,5.0,Serine protease,0.052505106331851494
test,549,,,6.0,Voltage-gated calcium channel,0.06596179262285233
test,404,,,7.0,Plant homeodomain,0.04854018983539589
test,149,,,8.0,Protein Kinase,0.01790219872642076
test,390,,,9.0,Pore-forming toxins (proteins and peptides),0.046858104049020785
test,316,,,10.0,5HT3 receptor,0.03796707917818094
