model_name,unseen_target_class_l3,molecule_class_pairs,unique_molecules,mean_max_pchembl_value,median_max_pchembl_value,mean_activity_records,mean_unique_targets,top1_softmax_mean_known_class,top1_softmax_mean_probability,top2_softmax_mean_known_class,top2_softmax_mean_probability,top3_softmax_mean_known_class,top3_softmax_mean_probability,mean_top1_softmax_probability,median_top1_softmax_probability,mean_softmax_entropy,fraction_confident_ge_0_50,fraction_confident_ge_0_70,fraction_confident_ge_0_90,top1_per_molecule_softmax_mode,top1_centroid_cosine_known_class,top1_centroid_cosine_similarity,top2_centroid_cosine_known_class,top2_centroid_cosine_similarity,top3_centroid_cosine_known_class,top3_centroid_cosine_similarity,top1_centroid_euclidean_known_class,top1_centroid_euclidean_distance,top2_centroid_euclidean_known_class,top2_centroid_euclidean_distance,top3_centroid_euclidean_known_class,top3_centroid_euclidean_distance,mean_nearest_centroid_cosine_similarity,top1_per_molecule_centroid_mode
v1_random,Aspartic protease,241,241,7.147800829875518,7.02,1.045643153526971,1.012448132780083,Voltage-gated calcium channel,0.3104257881641388,Transient receptor potential channel,0.2956700921058655,P2X receptor,0.10322342067956924,0.8306057,0.9204448,0.46358728,0.9253112033195021,0.7427385892116183,0.5186721991701245,Voltage-gated calcium channel,Voltage-gated calcium channel,0.7988588809967041,Transient receptor potential channel,0.7168780565261841,Serine protease,0.5195213556289673,Transient receptor potential channel,7.476973533630371,P2X receptor,8.909265518188477,Bromodomain,9.217785835266113,0.8071104,Voltage-gated calcium channel
v1_random,Cysteine protease,175,175,5.739199999999999,5.7,1.2514285714285713,1.0,Transient receptor potential channel,0.44034823775291443,Bromodomain,0.14435429871082306,Voltage-gated calcium channel,0.13217994570732117,0.87742764,0.9877753,0.3537677,0.9371428571428572,0.8285714285714286,0.64,Transient receptor potential channel,Transient receptor potential channel,0.8111905455589294,Voltage-gated calcium channel,0.6870793104171753,Serine protease,0.4913981556892395,Transient receptor potential channel,6.559808254241943,Bromodomain,8.672656059265137,P2X receptor,8.713086128234863,0.84530866,Transient receptor potential channel
v1_random,DNA methyltransferase,293,293,5.534641638225256,5.36,1.2081911262798635,1.075085324232082,Protein methyltransferase,0.2581225335597992,Bromodomain,0.22059006989002228,Transient receptor potential channel,0.19536735117435455,0.8332696,0.9495356,0.47300234,0.89419795221843,0.7474402730375427,0.5665529010238908,Protein methyltransferase,Protein methyltransferase,0.7331740856170654,Transient receptor potential channel,0.6333487629890442,Bromodomain,0.6015850305557251,Bromodomain,7.540125846862793,Transient receptor potential channel,8.288070678710938,P2X receptor,8.432046890258789,0.82072943,Protein methyltransferase
v1_random,Endoplasmic reticular retrotranslocon family,591,591,6.500964467005075,6.52,1.1844331641285957,1.0,Bromodomain,0.3004297912120819,Voltage-gated calcium channel,0.19958697259426117,Transient receptor potential channel,0.1348307877779007,0.81471866,0.8841332,0.5139082,0.922165820642978,0.7055837563451777,0.48223350253807107,Bromodomain,Voltage-gated calcium channel,0.68623286485672,Bromodomain,0.671116292476654,Transient receptor potential channel,0.5888722538948059,Bromodomain,6.960565567016602,P2X receptor,8.397994041442871,Transient receptor potential channel,8.649378776550293,0.79757786,Voltage-gated calcium channel
v1_random,GABA-A receptor,939,939,7.722907348242811,7.79,1.4014909478168265,1.308839190628328,Voltage-gated sodium channel,0.407313734292984,Transient receptor potential channel,0.22533920407295227,Bromodomain,0.16711486876010895,0.83750063,0.92668986,0.4626777,0.9243876464323749,0.751863684771033,0.556975505857295,Voltage-gated sodium channel,Voltage-gated sodium channel,0.7017549276351929,Transient receptor potential channel,0.6867666840553284,Bromodomain,0.5636333227157593,Voltage-gated sodium channel,6.95281457901001,Bromodomain,7.81298303604126,Transient receptor potential channel,7.8560333251953125,0.79303706,Voltage-gated sodium channel
v1_random,Protein kinase regulatory subunit,224,224,6.305357142857143,6.055,1.15625,1.1160714285714286,Protein Kinase,0.5264617800712585,Bromodomain,0.15579836070537567,Transient receptor potential channel,0.12439354509115219,0.83106035,0.9156143,0.49202496,0.9419642857142857,0.7410714285714286,0.5267857142857143,Protein Kinase,Protein Kinase,0.8572912216186523,Transient receptor potential channel,0.5182526111602783,Bromodomain,0.4939764738082886,Bromodomain,8.649508476257324,P2X receptor,9.253207206726074,Transient receptor potential channel,9.357712745666504,0.8084215,Protein Kinase
v1_random,Protein-glutamine glutamyl-transferase,471,471,6.299065817409765,6.32,1.683651804670913,1.443736730360934,Transient receptor potential channel,0.25765347480773926,Serine protease,0.23362912237644196,Bromodomain,0.1625286489725113,0.82501197,0.9146083,0.4993868,0.9193205944798302,0.7346072186836518,0.5138004246284501,Transient receptor potential channel,Transient receptor potential channel,0.6784224510192871,Plant homeodomain,0.6623609066009521,Serine protease,0.6370331645011902,Transient receptor potential channel,7.896157741546631,Bromodomain,8.0503568649292,P2X receptor,8.778349876403809,0.8084276,Serine protease
v1_random,Ryanodine receptor,124,124,6.949193548387097,6.99,1.0806451612903225,1.032258064516129,Transient receptor potential channel,0.43050265312194824,Bromodomain,0.2485322505235672,Voltage-gated calcium channel,0.07071112096309662,0.82899994,0.9187948,0.4821397,0.9193548387096774,0.7258064516129032,0.5645161290322581,Transient receptor potential channel,Transient receptor potential channel,0.7938207387924194,Bromodomain,0.602512538433075,5HT3 receptor,0.5688612461090088,Transient receptor potential channel,6.752449035644531,Bromodomain,7.563818454742432,P2X receptor,9.004241943359375,0.79901993,Transient receptor potential channel
v1_random,Smoothened receptor (frizzled family GPCR),954,954,6.916320754716981,7.0,1.578616352201258,1.140461215932914,Transient receptor potential channel,0.3499302268028259,P2X receptor,0.15342110395431519,Bromodomain,0.1405089795589447,0.81908125,0.91082525,0.5118515,0.9014675052410901,0.7222222222222222,0.5157232704402516,Transient receptor potential channel,Transient receptor potential channel,0.761709451675415,Voltage-gated calcium channel,0.6115292310714722,5HT3 receptor,0.5775192975997925,Transient receptor potential channel,7.130613327026367,P2X receptor,7.796777248382568,Bromodomain,8.399900436401367,0.7858409,Transient receptor potential channel
v1_random,Taste receptor (taste family GPCR),477,477,6.229308176100628,6.16,1.2431865828092243,1.0566037735849056,Bromodomain,0.4880249798297882,Transient receptor potential channel,0.3546888828277588,P2X receptor,0.04637623950839043,0.9068344,0.98921984,0.27470818,0.9664570230607966,0.8742138364779874,0.7295597484276729,Bromodomain,Bromodomain,0.7325353622436523,Transient receptor potential channel,0.7068952322006226,Voltage-gated calcium channel,0.48167526721954346,Bromodomain,6.390609264373779,Transient receptor potential channel,7.603442668914795,P2X receptor,9.08402156829834,0.8303984,Bromodomain
